timestamp,open,high,low,close,volume
2024-02-08,101.1,104.94,100.56,102.78,687817.64713862
2024-02-09,102.8,109.1,102.79,106.99,1045462.48178875
2024-02-10,106.99,110.99,106.93,109.19,599678.32959717
2024-02-11,109.09,110.65,107.33,107.46,362142.22336338
2024-02-12,107.45,112.28,103.38,111.8,863151.42059706
2024-02-13,111.85,115.08,108.29,112.6,654519.35467776
2024-02-14,112.61,118.7,110.71,117.07,615992.21652154
2024-02-15,117.13,118.41,110.02,113.58,685908.43150753
2024-02-16,113.58,114.25,108.0,110.38,426210.37422349
2024-02-17,110.32,111.07,105.64,108.97,276320.89408619
2024-02-18,108.96,114.0,107.6,112.26,381545.40679794
2024-02-19,112.28,114.98,110.85,111.54,374085.40222423
2024-02-20,111.54,112.08,103.65,108.4,520635.5811729
2024-02-21,108.39,108.4,100.27,105.08,472073.83369091
2024-02-22,105.08,107.03,101.42,101.72,471166.27982411
2024-02-23,101.63,103.0,98.77,99.83,261595.41293377
2024-02-24,99.86,104.75,98.54,104.08,295023.29593425
2024-02-25,104.07,104.33,102.09,103.47,185036.96485956
2024-02-26,103.45,110.77,100.35,109.92,781253.98384703
2024-02-27,109.91,112.93,105.41,108.46,571196.37555899
2024-02-28,108.44,118.97,107.43,118.97,1312152.55788948
2024-02-29,118.97,134.61,117.26,125.67,1610237.01707224
2024-03-01,125.74,137.75,125.74,129.5,1004899.38842126
2024-03-02,129.51,131.5,127.5,130.06,627054.85954905
2024-03-03,130.06,132.32,125.0,130.29,558567.91267228
2024-03-04,130.29,135.0,127.85,133.42,829517.29638723
2024-03-05,133.51,142.64,110.1,125.56,1707855.19408455
2024-03-06,125.56,134.88,120.29,130.91,880329.95803352
2024-03-07,130.91,149.5,130.8,144.04,979309.39473754
2024-03-08,144.04,152.86,141.2,145.09,794603.38370886
2024-03-09,145.12,149.45,144.04,144.57,275256.29330015
2024-03-10,144.54,148.78,140.61,144.58,273023.81742342
2024-03-11,144.58,150.05,137.25,148.79,423286.1518191
2024-03-12,148.8,154.99,141.87,151.05,654871.04483909
2024-03-13,151.09,166.66,148.82,163.89,591708.21475018
2024-03-14,163.89,178.22,157.88,176.51,932333.15626908
2024-03-15,176.57,189.0,165.2,183.7,1493199.07897574
2024-03-16,183.86,197.7,177.0,181.91,1071946.36900159
